,code,pop
0,1,653688
1,2,528016
2,3,333065
3,4,161980
4,5,141784
5,6,1080899
6,7,327011
7,8,267409
8,9,152340
9,10,309117
10,11,368011
11,12,277900
12,13,2035410
13,14,691676
14,15,143627
15,16,350240
16,17,646016
17,18,300174
18,19,240973
19,21,532901
20,22,596518
21,23,117340
22,24,409548
23,25,539465
24,26,517414
25,27,606419
26,28,431437
27,29,905238
28,30,745756
29,31,1390496
30,32,189326
31,33,1620243
32,34,1165412
33,35,1076330
34,36,217312
35,37,608387
36,38,1262108
37,39,258624
38,40,409325
39,41,330727
40,42,762222
41,43,226835
42,44,1425592
43,45,678722
44,46,171770
45,47,330159
46,48,75700
47,49,815325
48,50,492627
49,51,567225
50,52,173041
51,53,305021
52,54,731753
53,55,184474
54,56,751309
55,57,1036153
56,58,201518
57,59,2592185
58,60,825207
59,61,279755
60,62,1463196
61,63,656643
62,64,679354
63,65,225219
64,66,481691
65,67,1126505
66,68,761480
67,69,1882339
68,70,233394
69,71,549763
70,72,561583
71,73,432716
72,74,829017
73,75,2140526
74,76,1248590
75,77,1421735
76,78,1436581
77,79,374873
78,80,569662
79,81,387638
80,82,261558
81,83,1075649
82,84,563751
83,85,679024
84,86,437368
85,87,371575
86,88,361031
87,89,336532
88,90,143104
89,91,1314827
90,92,1606088
91,93,1654477
92,94,1395209
93,95,1243921
94,971,382704
95,972,364354
96,973,296711
97,974,866506
98,976,270372
